
 Lista de Imóveis da Caixa;;Data de geração:;17/10/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 10154406 ;RJ ;RIO DE JANEIRO ;VILA ISABEL ;RUA TEODORO DA SILVA, N. 300 ;1.582.026,00;2.180.000,00;27.43;Comercial, 0.00 de área total, 503.00 de área privativa, 689.70 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10154406
 10167050 ;RJ ;RIO DE JANEIRO ;RICARDO DE ALBUQUERQUE ;RUA ARAÇÁ, N. 825, Apto 104 ;177.796,50;245.000,00;27.43;Apartamento, 0.00 de área total, 79.07 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10167050
 10148926 ;RJ ;RIO DE JANEIRO ;PENHA CIRCULAR ;RUA TOMAS LOPES, N. 1037 ;566.046,00;780.000,00;27.43;Prédio, 0.00 de área total, 315.00 de área privativa, 3200.00 de área do terreno, WC, 3 sala(s), Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10148926
 10160856 ;RJ ;RIO DE JANEIRO ;PENHA CIRCULAR ;RUA QUITO, N. 164 ;707.557,50;975.000,00;27.43;Casa, 0.00 de área total, 315.00 de área privativa, 240.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10160856
 10170790 ;RJ ;RIO DE JANEIRO ;PECHINCHA ;RUA MINISTRO GABRIEL DE PIZA, N. 71, Apto 908, BL 01, 1 VG ;181.425,00;250.000,00;27.43;Apartamento, 0.00 de área total, 51.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10170790
 8787709072493 ;RJ ;RIO DE JANEIRO ;BONSUCESSO ;RUA ENGENHEIRO ARTUR MOURA, N. 456, Apto 504, BLOCO 06 ;149.194,89;205.000,00;27.23;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709072493
 8787707915167 ;RJ ;RIO DE JANEIRO ;GUARATIBA ;ESTRADA CABUCU DE BAIXO, N. 450, Apto 206, BL 02 ;108.020,67;148.417,76;27.22;Apartamento, 0.00 de área total, 48.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707915167
 8787707865330 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA JORGE SAMPAIO, N. 91, Apto 508, BL 09 ;120.588,49;164.000,00;26.48;Apartamento, 0.00 de área total, 43.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707865330
 1787700897670 ;RJ ;RIO DE JANEIRO ;FREGUESIA JACAREPAGU ;RUA MIRATAIA, N. 18, Apto 112, BL02 ;186.066,56;252.191,06;26.23;Apartamento, 0.00 de área total, 47.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700897670
 1444405191920 ;RJ ;RIO DE JANEIRO ;BARRA DA TIJUCA ;AVENIDA AYRTON SENNA, N. 3000, Apto 4068, BL 03 ;187.401,19;254.000,00;26.23;Sala, 0.00 de área total, 36.30 de área privativa, 0.00 de área do terreno, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405191920
 1444403212386 ;RJ ;RIO DE JANEIRO ;BANGU ;RUA AMANAJO, N. 46, Apto 104, Vila ;173.382,99;235.000,00;26.23;Apartamento, 0.00 de área total, 149.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403212386
 1787700625939 ;RJ ;RIO DE JANEIRO ;BONSUCESSO ;R ENGENHEIRO ARTUR MOURA, N. 456, Apto 101, BL 03 ;111.611,35;151.275,89;26.23;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700625939
 1787700461138 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;E DO PEDREGOSO, N. 1301, Apto 501, BLOCO 03 ;129.969,00;176.157,51;26.23;Apartamento, 0.00 de área total, 41.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700461138
 1787700626986 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA CAMPO GRANDE, N. 3740, Apto 502, BL 08 ;114.454,91;155.130,00;26.23;Apartamento, 0.00 de área total, 41.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700626986
 1444405100550 ;RJ ;RIO DE JANEIRO ;CAVALCANTI ;RUA ZEFERINO DA COSTA, N. 261, Apto 104 ;78.005,77;105.727,54;26.23;Apartamento, 0.00 de área total, 31.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405100550
 1444411523891 ;RJ ;RIO DE JANEIRO ;PRACA SECA ;RUA FLORIANOPOLIS, N. 885, Apto 507, BL 04 - ED COLIBRI ;194.522,89;263.652,61;26.23;Apartamento, 0.00 de área total, 49.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444411523891
 1555531427719 ;RJ ;RIO DE JANEIRO ;TAQUARA ;ESTRADA DO CAFUNDA, N. 3075, Apto 109, BL 02 ;343.478,56;465.544,28;26.23;Apartamento, 116.00 de área total, 116.00 de área privativa, 0.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555531427719
 1444406200460 ;RJ ;RIO DE JANEIRO ;PECHINCHA ;AVENIDA JOSE LUIZ FERRAZ, N. 200, Apto 502, LT 14 ;492.587,63;667.643,85;26.23;Apartamento, 95.00 de área total, 95.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406200460
 1444404069277 ;RJ ;RIO DE JANEIRO ;ABOLICAO ;RUA BRAULIO MUNIZ, N. 111, Apto 406 ;136.493,00;185.000,00;26.22;Apartamento, 0.00 de área total, 46.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404069277
 1444407181205 ;RJ ;RIO DE JANEIRO ;BARRA DA TIJUCA ;AVENIDA DAS AMERICAS N 700 303A 8, N. 700, LT 1 ;332.010,00;450.000,00;26.22;Loja, 0.00 de área total, 48.00 de área privativa, 0.00 de área do terreno, 1 sala(s), 1 lavabo(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407181205
 1444405243122 ;RJ ;RIO DE JANEIRO ;ANCHIETA ;RUA DELHI, N. 121 ;316.516,20;429.000,00;26.22;Casa, 0.00 de área total, 320.00 de área privativa, 1050.00 de área do terreno,  1 qto(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405243122
 1555515597427 ;RJ ;RIO DE JANEIRO ;GAVEA ;R SAO MARTINIANO, QUADRA 02, LOTE 03 ;509.082,00;690.000,00;26.22;Terreno, 0.00 de área total, 0.00 de área privativa, 424.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555515597427
 1555524592670 ;RJ ;RIO DE JANEIRO ;GUADALUPE ;AVENIDA BRASIL, N. 22920, Apto 402, BL 02 ;92.225,00;125.000,00;26.22;Apartamento, 0.00 de área total, 48.43 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555524592670
 1444405344433 ;RJ ;RIO DE JANEIRO ;JACARE ;RUA CANINDE, N. 29 ;227.980,20;309.000,00;26.22;Casa, 0.00 de área total, 111.00 de área privativa, 104.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405344433
 1555514507971 ;RJ ;RIO DE JANEIRO ;CACHAMBI ;PRACA AVAI, N. 1, Apto 107, . ;175.596,40;238.000,00;26.22;Apartamento, 0.00 de área total, 67.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555514507971
 1444402268868 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA MUSICO DINO SETE CORDAS, N. 32, CS 101 ;151.249,00;205.000,00;26.22;Casa, 0.00 de área total, 69.00 de área privativa, 125.31 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402268868
 1555530747680 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA JOSUE DE BARROS, N. 99, Apto 504, BL 07 ;112.145,60;152.000,00;26.22;Apartamento, 0.00 de área total, 44.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555530747680
 1555534905808 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;AVENIDA CESARIO DE MELO, N. 4077, Apto 201, BL 03 ;197.730,40;268.000,00;26.22;Apartamento, 0.00 de área total, 56.05 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555534905808
 1787700783046 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA PROJETADA 4, N. 100, Apto 301, . ;99.603,00;135.000,00;26.22;Apartamento, 0.00 de área total, 40.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787700783046
 1444407334389 ;RJ ;RIO DE JANEIRO ;ENCANTADO ;RUA CRUZ E SOUSA, N. 496, Apto 301, BL 01 ;139.444,20;189.000,00;26.22;Apartamento, 0.00 de área total, 82.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407334389
 1444403181090 ;RJ ;RIO DE JANEIRO ;PRACA SECA ;RUA CANDIDO BENICIO, N. 1600, Apto 202, BL 10 ;188.139,00;255.000,00;26.22;Apartamento, 63.00 de área total, 63.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, WC Emp, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403181090
 1444405207363 ;RJ ;RIO DE JANEIRO ;PRACA SECA ;RUA CAPITAO MENEZES, N. 1606, Apto 503, BLOCO I ;196.992,60;267.000,00;26.22;Apartamento, 0.00 de área total, 86.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405207363
 1555535818852 ;RJ ;RIO DE JANEIRO ;SANTA CRUZ ;AVENIDA PADRE GUILHERME DECAMINADA, N. 2026, Apto 103, BL 01 ;125.426,00;170.000,00;26.22;Apartamento, 0.00 de área total, 43.47 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555535818852
 8555521293696 ;RJ ;RIO DE JANEIRO ;PRACA DA BANDEIRA ;RUA BARAO DE UBA, N. 384 ;399.887,60;542.000,00;26.22;Casa, 233.00 de área total, 233.00 de área privativa, 124.10 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555521293696
 1555532957690 ;RJ ;RIO DE JANEIRO ;TAQUARA ;ESTRADA RODRIGUES CALDAS, N. 1700, Apto 501, BLOCO 1 ;157.151,40;213.000,00;26.22;Apartamento, 0.00 de área total, 47.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532957690
 1444403982181 ;RJ ;RIO DE JANEIRO ;TIJUCA ;RUA JOSE BONIFACIO, N. 147, Apto 0, QD 2 LT 28 ;420.546,00;570.000,00;26.22;Casa, 0.00 de área total, 235.56 de área privativa, 280.80 de área do terreno,  2 qto(s), WC, 2 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403982181
 1444403973379 ;RJ ;RIO DE JANEIRO ;TOMAS COELHO ;RUA PAULO PIRES, N. 99, Apto 203, BLOCO,10 ;109.194,40;148.000,00;26.22;Apartamento, 0.00 de área total, 40.72 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403973379
 1444402310899 ;RJ ;RIO DE JANEIRO ;ROCHA MIRANDA ;AVENIDA DOS ITALIANOS, N. 936, Apto 903, BL 1 ;124.688,20;169.000,00;26.22;Apartamento, 0.00 de área total, 52.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402310899
 1444406110410 ;RJ ;RIO DE JANEIRO ;VARGEM GRANDE ;PRAÇA VARGEM GRANDE, N. 65, CS 06 ;436.777,60;592.000,00;26.22;Casa, 0.00 de área total, 64.19 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406110410
 1555527613678 ;RJ ;RIO DE JANEIRO ;PAVUNA ;RUA BRAS CUBAS, N. 450, Apto 506, BL 02 ;98.140,01;133.017,09;26.22;Apartamento, 0.00 de área total, 53.48 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555527613678
 1444406606113 ;RJ ;RIO DE JANEIRO ;MADUREIRA ;RUA CURIMATA, N. 83, FUNDOS COM CASA 34 RUA PADRE MANSO 64 ;492.112,60;667.000,00;26.22;Casa, 0.00 de área total, 309.39 de área privativa, 220.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), 1 lavabo(s), DCE, cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406606113
 1444407706197 ;RJ ;RIO DE JANEIRO ;MADUREIRA ;R CLARA NUNES, N. 126, Apto 301, BL B CONJ RES DIVINO MESTRE ;171.169,60;232.000,00;26.22;Apartamento, 0.00 de área total, 70.00 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407706197
 1444406585132 ;RJ ;RIO DE JANEIRO ;LINS DE VASCONCELOS ;RUA CONSELHEIRO FERRAZ, N. 88, Apto 104, BL 01 ;160.102,60;217.000,00;26.22;Apartamento, 0.00 de área total, 68.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406585132
 8787708355599 ;RJ ;RIO DE JANEIRO ;COSMOS ;RUA SEMPRE VERDE, N. 125, Apto 402, BLOCO 08 ;103.180,30;139.565,03;26.08;Apartamento, 0.00 de área total, 43.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708355599
 8787709509980 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA PROJETADA A, N. 175, Apto 301, BLOCO 10 VG GARAGEM USO COND ;105.099,34;141.000,00;25.47;Apartamento, 0.00 de área total, 41.19 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709509980
 8787704098737 ;RJ ;RIO DE JANEIRO ;COSMOS ;RUA DAS AMOREIRAS, N. 248, Apto 204, BL 02 ;101.040,54;135.000,00;25.16;Apartamento, 0.00 de área total, 41.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704098737
 1444404493192 ;RJ ;RIO DE JANEIRO ;FREGUESIA DE JACAREP ;ESTRADA DE JACAREPAGUA ANTIGA AV PROJETADA B, N. 3145, Apto 1001, BL04 LT14 ;168.750,00;225.000,00;25.00;Apartamento, 0.00 de área total, 52.00 de área privativa, 0.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404493192
 1444403561704 ;RJ ;RIO DE JANEIRO ;BARRA DA TIJUCA ;AVENIDA EMBAIXADOR ABELARDO BUENO, N. 3350, Apto 303, BL 2 ;322.500,00;430.000,00;25.00;Apartamento, 0.00 de área total, 62.00 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403561704
 1444405185890 ;RJ ;RIO DE JANEIRO ;ANIL ;RUA ITUVERAVA, N. 334, Apto 501, . ;275.250,00;367.000,00;25.00;Apartamento, 0.00 de área total, 62.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405185890
 8787705937945 ;RJ ;RIO DE JANEIRO ;ITANHANGA ;AVENIDA SAO JOSEMARIA ESCRIVA, N. 302, Apto 101, BL 20 ;150.416,47;200.555,29;25.00;Apartamento, 0.00 de área total, 45.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705937945
 1444406655033 ;RJ ;RIO DE JANEIRO ;ENGENHO NOVO ;RUA CADETE POLONIA, N. 672, Apto 203, . ;171.000,00;228.000,00;25.00;Apartamento, 0.00 de área total, 54.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406655033
 1555538807398 ;RJ ;RIO DE JANEIRO ;ENGENHO NOVO ;RUA BARONESA DO ENGENHO NOVO, N. 414, Apto 1204, BL 02 ;155.477,32;207.303,09;25.00;Apartamento, 0.00 de área total, 47.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555538807398
 8555537031700 ;RJ ;RIO DE JANEIRO ;ENGENHO NOVO ;RUA BARONESA DO ENGENHO NOVO, N. 414, Apto 504, BL 04 ;161.250,00;215.000,00;25.00;Apartamento, 0.00 de área total, 47.87 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537031700
 8555539715444 ;RJ ;RIO DE JANEIRO ;ENGENHO NOVO ;RUA BARONESA DO ENGENHO NOVO, N. 414, Apto 207, BL 4 ;165.750,00;221.000,00;25.00;Apartamento, 0.00 de área total, 47.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539715444
 1444402825180 ;RJ ;RIO DE JANEIRO ;ENGENHO DE DENTRO ;RUA ENGENHEIRO OSCAR DA COSTA, N. 105, . ;312.000,00;416.000,00;25.00;Casa, 0.00 de área total, 149.00 de área privativa, 270.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402825180
 1444404704657 ;RJ ;RIO DE JANEIRO ;JACARE ;RUA CANINDE, N. 63, 3628779 ;276.750,00;369.000,00;25.00;Casa, 0.00 de área total, 162.66 de área privativa, 125.31 de área do terreno,  3 qto(s), WC, WC Emp, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404704657
 1555533345043 ;RJ ;RIO DE JANEIRO ;GUARATIBA ;VIA SERVIENTE A, N. 275, CS 07 BL 04 ;136.500,00;182.000,00;25.00;Casa, 0.00 de área total, 53.97 de área privativa, 59.32 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555533345043
 1444401924583 ;RJ ;RIO DE JANEIRO ;JACAREPAGUA ;RUA FRANCISCO DE PAULA, N. 600, Apto 601, BL 01 ;324.750,00;433.000,00;25.00;Apartamento, 0.00 de área total, 67.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401924583
 1787701080200 ;RJ ;RIO DE JANEIRO ;BONSUCESSO ;AVENIDA ITAOCA, N. 464, Apto 208, BL 03 ;162.199,09;216.265,45;25.00;Apartamento, 0.00 de área total, 43.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1787701080200
 8787708845367 ;RJ ;RIO DE JANEIRO ;BONSUCESSO ;RUA ENGENHEIRO ARTUR MOURA, N. 456, Apto 402, BL 08 ;137.250,00;183.000,00;25.00;Apartamento, 0.00 de área total, 44.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708845367
 8787708866348 ;RJ ;RIO DE JANEIRO ;BONSUCESSO ;RUA ENGENHEIRO ARTUR MOURA N 456 207 04, N. 456, Apto 207, BL 04 ;150.000,00;200.000,00;25.00;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708866348
 8787708918631 ;RJ ;RIO DE JANEIRO ;BONSUCESSO ;RUA ENGENHEIRO ARTUR MOURA, N. 456, Apto 406, BL 04 ;144.119,32;192.159,09;25.00;Apartamento, 0.00 de área total, 40.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708918631
