
 Lista de Imóveis da Caixa;;Data de geração:;17/10/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444404293495 ;RJ ;ARARUAMA ;BANANEIRAS IGUABINHA ;RUA MINAS GERAIS, N. 21, LT 183 ;303.620,00;470.000,00;35.40;Casa, 153.64 de área total, 153.64 de área privativa, 650.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404293495
 1444406019790 ;RJ ;ARARUAMA ;BANANEIRAS ;RUA DOS JASMINS, N. 109, CS 102, QD U1, LT 02 ;153.748,00;238.000,00;35.40;Casa, 0.00 de área total, 81.46 de área privativa, 248.56 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406019790
 1444407697368 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA SANTA CLARISSE, N. 220, LT 05 QD 47 ;182.818,00;283.000,00;35.40;Casa, 0.00 de área total, 240.00 de área privativa, 600.00 de área do terreno,  6 qto(s), a.serv, WC, 3 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407697368
 1444409109110 ;RJ ;ARARUAMA ;NOVO HORIZONTE(IGUAB ;RUA PARANAPUA, N. 50, CASA 02 ;158.270,00;245.000,00;35.40;Casa, 0.00 de área total, 72.41 de área privativa, 194.76 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409109110
 1444417060613 ;RJ ;ARARUAMA ;BANANEIRAS ;RUA DOUTOR JOSE MOTA VASCONCELOS, N. 255, CS 04 LT 12 ;151.164,00;234.000,00;35.40;Casa, 0.00 de área total, 97.30 de área privativa, 113.48 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417060613
 1444418007830 ;RJ ;ARARUAMA ;NOVO HORIZONTE IGUAB ;RUA ARAGARCAS, N. 24, Apto 101, 0 ;145.350,00;225.000,00;35.40;Apartamento, 0.00 de área total, 68.08 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418007830
 1444418277934 ;RJ ;ARARUAMA ;NOVO HORIZONTE IGUAB ;RUA URUSSUMIRIM, N. 154, QD 47, TERRENO 8 ;239.020,00;370.000,00;35.40;Casa, 0.00 de área total, 181.91 de área privativa, 450.00 de área do terreno,  3 qto(s), WC, WC Emp, 1 sala(s), cozinha, 3 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444418277934
 1444407595930 ;RJ ;ARARUAMA ;CENTRO (MORRO GRANDE) ;R REX, N. 100, QD17-A, LT375 ;143.412,00;222.000,00;35.40;Casa, 134.40 de área total, 134.40 de área privativa, 800.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407595930
 1444409513965 ;RJ ;ARARUAMA ;HOSPICIO ;RUA GERSON, N. SN, LT O5 QD H ;190.570,00;295.000,00;35.40;Casa, 0.00 de área total, 191.48 de área privativa, 257.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444409513965
 1444417473128 ;RJ ;ARARUAMA ;HOSPICIO ;RUA SEM DENOMINACAO N SN 110 4B, N. SN, CASA ;148.580,00;230.000,00;35.40;Casa, 0.00 de área total, 81.11 de área privativa, 106.06 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417473128
